Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Nayo Raincock-Ekunwe,NYL,28,1,13.1,1.5,2.8,0.544,0,0.1,0.333,1.5,2.7,0.553,0.551,0.6,0.9,0.64,1.4,2.8,0.4,0.3,0.1,0.8,1.5,3.7,11.3,0.445,0.308,0.259,3,9.1,19.6,1.2,1.5,14.8,23.1,-0.8,0.8,0,-0.001
Danielle Robinson,MIN,34,25,27,4.1,9.3,0.437,0.3,1.2,0.22,3.8,8.1,0.469,0.451,1.7,1.9,0.879,0.6,3.5,3.7,1.2,0.2,2.1,1.8,10.1,11.4,0.513,0.617,0.201,4,8.7,11.2,2.8,1.4,20,16.8,0.1,1,1.1,0.077
Sugar Rodgers,LVA,33,0,11.6,1.2,3.4,0.36,0.9,2.5,0.357,0.3,0.8,0.37,0.495,0.1,0.2,0.6,0.1,1.5,1.2,0.4,0.4,0.8,1.1,3.4,3.7,0.277,0.615,0.462,0.9,8.5,38.4,0.8,0.6,21.7,22,-0.5,0.1,-0.4,-0.137
Tierra Ruffin-Pratt,LAS,34,33,25.2,2.1,5.8,0.367,0.7,2.1,0.342,1.4,3.6,0.382,0.431,1,1.2,0.854,0.6,2.4,1.7,0.8,0.6,0.9,2.7,6,18.3,0.513,0.003,0.363,8.8,14.7,17.2,3.3,1.1,15.2,19.2,1.7,2.1,3.7,0.145
Mercedes Russell,SEA,34,30,25.6,3.1,6,0.52,0,0,,3.1,6,0.52,0.52,1.2,1.9,0.646,2.4,6.1,1,1.1,0.5,1,2.5,7.5,13.9,0.491,0.346,0.197,2,5.5,28.3,2.4,0.4,19.4,20.6,0.8,1.2,2,0.078
Karlie Samuelson,DAL,4,0,12,0.5,1.8,0.286,0.5,1.5,0.333,0,0.3,0,0.429,0,0,,0.3,0.5,0.5,0.8,0.3,0,1.5,1.5,11.5,0.445,0.356,0.201,6.7,10.3,11.1,1.6,0.9,12.3,20.2,0.2,0.4,0.6,0.027
Karlie Samuelson,LAS,3,0,12,0.3,2.3,0.143,0.3,2,0.167,0,0.3,0,0.214,0,0,,0,0.7,1,0,0,0,0.7,1,-1.6,0.265,0,0.3,9.2,13.7,10.9,0,3.2,15,22.1,-0.1,0,-0.1,-0.134
Karlie Samuelson,TOT,7,0,12,0.4,2,0.214,0.4,1.7,0.25,0,0.3,0,0.321,0,0,,0.1,0.6,0.7,0.4,0.1,0,1.1,1.3,20.9,0.595,0.426,0.149,2,6,31.1,2.1,0.2,15.8,20,2.7,0.6,3.3,0.195
Katie Lou Samuelson,CHI,20,0,7.7,0.6,1.9,0.316,0.4,1.5,0.276,0.2,0.5,0.444,0.421,0.8,1,0.8,0.2,0.9,0.4,0.3,0.1,0.3,0.8,2.4,10,0.476,0.362,0.259,5.6,10.7,12.8,1.9,0.8,18.8,19.6,-0.1,0.5,0.3,0.039
Jessica Shepard,MIN,6,0,18.7,1.8,4.8,0.379,0.2,1.2,0.143,1.7,3.7,0.455,0.397,1,1.3,0.75,1.5,5.7,3.5,0.3,0.2,2.5,1.5,4.8,14,0.571,0,0.286,11.6,15,5.7,0.8,3.6,15.6,12.5,0.9,0.5,1.4,0.125
Odyssey Sims,MIN,34,34,31.9,5.6,13.4,0.415,0.7,2.7,0.269,4.8,10.6,0.453,0.443,2.6,3.3,0.795,0.7,3.4,5.4,1.4,0.1,3.3,2,14.5,9.1,0.483,0.459,0.285,1.6,7.7,19.5,1.6,0.3,23.4,20.1,-0.7,0.5,-0.3,-0.017
Alanna Smith,PHO,18,0,7.4,0.4,2.3,0.195,0.1,1,0.111,0.3,1.3,0.261,0.22,0.1,0.1,0.5,0.6,1.9,0.2,0.3,0.3,0.4,1,1.1,24.8,0.533,0.154,0.125,11.4,18.3,11.8,4.2,1.4,14.1,31.6,0.2,0.5,0.7,0.159
Azura Stevens,DAL,9,1,16,2.1,5.9,0.358,0.1,1,0.111,2,4.9,0.409,0.368,0.4,0.6,0.8,1.7,3.6,0.6,0.6,1.1,1,1.3,4.8,20.5,0.552,0.358,0.268,2.4,8.1,47,2.2,1.1,22.3,18.9,3,1.1,4.1,0.166
Shekinna Stricklen,CON,34,34,23.6,3.1,7.5,0.408,2.2,5.9,0.382,0.8,1.6,0.5,0.557,0.6,0.8,0.815,0.3,1.9,1.1,1,0.2,0.8,2.3,9,-6.1,0.091,0.455,0,10.4,7.8,19.2,2.3,0,0,22.3,-0.2,0,-0.1,-0.264
Carolyn Swords,LVA,29,4,8.9,1.1,2.5,0.438,0,0,,1.1,2.5,0.438,0.438,0.4,0.4,0.846,0.7,2.2,0.3,0.2,0.1,0.6,0.9,2.6,15.2,0.564,0.403,0.324,3.6,5.6,10.6,2.5,1.1,14.5,18.5,1.3,0.6,1.9,0.13
Brittney Sykes,ATL,34,27,25.9,3.8,10.3,0.365,0.8,3.2,0.259,2.9,7.1,0.412,0.405,1.9,2.7,0.703,0.7,4.4,2.5,0.6,0.5,2,1.7,10.2,-4.1,0.255,0,0.4,9.7,11.4,0,0,4.7,40.5,12.3,-0.2,0,-0.2,-0.191
Stephanie Talbot,MIN,33,10,17,1.7,4.7,0.37,0.9,2.9,0.326,0.8,1.8,0.441,0.471,0.8,0.9,0.871,0.5,2.4,1.2,0.9,0.3,1.3,1.1,5.2,15.8,0.538,0.419,0.158,0.7,6.9,35.3,2.5,0.5,23.3,22.1,0.7,0.7,1.4,0.065
Diana Taurasi,PHO,6,6,21.5,0.7,6.5,0.103,0.2,4,0.042,0.5,2.5,0.2,0.115,2.8,3,0.944,0.2,3.2,5.3,0.3,0.2,2.2,2.5,4.3,12.8,0.52,0.821,0.049,2.9,5.2,20.2,2.8,0.5,18.5,19,0.4,0.7,1.2,0.07
Asia Taylor,MIN,8,0,8.1,1.3,2.8,0.455,0,0.1,0,1.3,2.6,0.476,0.455,0.6,0.8,0.833,0.5,1.8,0.9,0.1,0.1,0.6,0.8,3.1,8.5,0.521,0.65,0.063,0.9,3.6,12.9,1.2,1,17.9,12.1,0.3,0.5,0.8,0.048
