Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
37,Jordan Bell,C,25,MIN,22,0,9.4,1.2,2.4,0.509,0,0.3,0.143,1.2,2.1,0.565,0.519,0.7,1.1,0.64,1.1,2,3.1,0.6,0.1,0.4,0.8,0.6,3.2,206,14.1,0.555,0.132,0.472,12.2,22,17,9.3,0.5,3.6,21,16.2,0.1,0.2,0.3,0.075,-3.8,0.8,-3,-0.1
38,DeAndre' Bembry,SG,25,ATL,36,4,21.9,2.6,5.5,0.467,0.3,1.4,0.231,2.2,4,0.552,0.497,0.6,1.1,0.512,0.9,2.9,3.8,2,1.2,0.4,1.3,1.9,6,788,10.3,0.505,0.264,0.208,4.2,14.8,9.5,13,2.6,1.7,18.2,14,-0.3,0.6,0.4,0.023,-3.2,1.1,-2,0
39,Dragan Bender,SF,22,MIL,3,0,9.7,2,2.7,0.75,0.7,1.3,0.5,1.3,1.3,1,0.875,0.3,0.3,1,0,0.7,0.7,1,0,0.7,0.3,2,5,29,19.5,0.889,0.5,0.125,0,6.5,3.4,14.7,0,6,10.6,13.5,0.1,0,0.2,0.27,3.5,-0.2,3.3,0
40,Dāvis Bertāns,PF,27,WAS,28,4,30,5.1,11.3,0.449,3.8,8.6,0.434,1.3,2.6,0.5,0.616,1.5,1.7,0.894,0.9,4,4.9,1.7,0.6,0.6,0.8,2.6,15.4,839,16.5,0.64,0.766,0.149,3.1,15.3,8.9,8,1,1.8,6.1,17.7,2.1,0.1,2.1,0.121,4.1,-2.2,1.9,0.8
41,Patrick Beverley,PG,31,LAC,30,30,29,3,7.3,0.414,1.4,4.2,0.323,1.7,3.1,0.538,0.507,0.5,0.9,0.593,1.3,4.7,6,3.4,1.4,0.6,1.2,3.3,8,869,11.7,0.515,0.577,0.123,4.7,16.5,10.7,15.3,2.2,1.9,13.8,12.7,0.7,1.4,2,0.113,0.3,3.2,3.5,1.2
42,Khem Birch,C,27,ORL,23,12,21.2,1.5,3,0.486,0,0,0,1.5,3,0.493,0.486,0.8,1.7,0.5,1.8,3,4.9,1,0.5,0.7,0.6,2.2,3.8,487,9.7,0.502,0.014,0.543,8.8,15.5,12.1,6.8,1.1,3,13.9,9,0.3,0.6,0.9,0.093,-3.5,2.8,-0.7,0.2
43,Goga Bitadze,C,20,IND,28,2,9.8,1.2,2.6,0.459,0.1,0.7,0.211,1.1,2,0.545,0.486,0.6,0.8,0.696,0.7,1.8,2.4,0.5,0,0.9,0.5,1.5,3.1,275,12,0.523,0.257,0.311,7.6,19.4,13.5,7.3,0.2,7.5,14.3,15.6,0.1,0.4,0.5,0.091,-3.7,2.9,-0.8,0.1
44,Bismack Biyombo,C,27,CHO,37,22,19.5,3.1,5.6,0.563,0,0,,3.1,5.6,0.563,0.563,1.7,2.9,0.604,2.3,3.5,5.9,0.8,0.2,0.8,0.8,2.2,8,721,17.3,0.586,0,0.515,12.4,20.7,16.4,6.9,0.5,3.5,10,17,1.5,0.4,1.9,0.129,-1.4,-0.3,-1.7,0.1
45,Nemanja Bjelica,PF,31,SAC,38,35,26.8,4.4,9.4,0.468,1.9,4.5,0.418,2.6,5,0.513,0.567,0.9,1.1,0.837,1.5,4.7,6.2,2.4,0.9,0.6,1.6,3.1,11.7,1018,15.9,0.586,0.474,0.12,6.3,20.5,13.2,14.2,1.6,2.1,13.7,18.8,1.4,1.1,2.5,0.12,1.1,1,2.1,1
46,Eric Bledsoe,PG,30,MIL,30,30,26,5.5,11.5,0.481,1.3,3.6,0.361,4.2,7.9,0.536,0.538,2.5,3,0.813,0.8,3.9,4.7,5.4,0.9,0.5,2.3,2.2,14.8,779,19.4,0.578,0.313,0.264,3.2,14.1,8.9,30.1,1.6,1.7,15.2,24.1,1.6,1.3,2.9,0.181,1.7,0.8,2.5,0.9
47,Bogdan Bogdanović,SG,27,SAC,30,0,28.1,5.3,12.4,0.426,2.6,6.9,0.383,2.6,5.5,0.479,0.532,1.3,2,0.661,0.3,2.6,3,3.6,1.1,0.3,2,2,14.5,842,14.5,0.547,0.555,0.159,1.3,11,6,20.6,1.9,0.9,13.3,23.7,0.5,0.7,1.2,0.066,0.9,-1.5,-0.6,0.3
48,Bojan Bogdanović,SF,30,UTA,35,35,33.5,6.8,15.4,0.439,3,7.1,0.418,3.8,8.3,0.457,0.535,4.4,4.9,0.895,0.7,3.7,4.4,2,0.7,0.1,2.8,1.9,20.9,1174,15.7,0.594,0.461,0.317,2.3,11.3,7,9.8,0.9,0.3,13.9,26.6,1.2,1.2,2.4,0.098,1,-1.7,-0.7,0.4
49,Jonah Bolden,PF,24,PHI,2,0,2.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,1,0,0,0,0,0,0.5,0,0.5,0,1,5,7.7,0.532,0,2,0,0,0,0,9.6,0,34.7,24.7,0,0,0,-0.21,-9.9,3.9,-6,0
50,Jordan Bone,PG,22,DET,3,0,2,0.7,1.7,0.4,0,0.3,0,0.7,1.3,0.5,0.4,0,0,,0,0,0,0,0,0,0.7,0.7,1.3,6,-16.4,0.4,0.2,0,0,0,0,0,0,0,28.6,50.3,-0.1,0,-0.1,-0.657,-23.7,-10.9,-34.6,0
51,Isaac Bonga,SF,20,WAS,31,20,16.2,1.5,3,0.505,0.2,0.7,0.286,1.3,2.3,0.569,0.538,0.9,1.2,0.75,0.9,2,2.9,1,0.6,0.3,0.5,2.1,4.1,501,10.6,0.583,0.226,0.387,6,14,9.8,8.1,1.8,1.4,13.5,10.4,0.6,0.1,0.7,0.07,-1.1,-0.1,-1.2,0.1
52,Devin Booker,SG,23,PHO,34,34,36.1,9.2,18.1,0.51,1.8,5.1,0.358,7.4,13,0.569,0.56,5.9,6.5,0.914,0.6,3.2,3.8,6.5,0.7,0.2,3.8,3,26.2,1226,20.6,0.625,0.281,0.359,1.8,10.1,5.8,29.9,0.9,0.6,15.3,29,3,0.5,3.5,0.136,3.7,-2.4,1.4,1
53,Chris Boucher,PF,27,TOR,34,0,13.3,2.1,4.6,0.462,0.5,1.6,0.333,1.6,3.1,0.529,0.519,1.5,2,0.725,2.1,2.6,4.6,0.4,0.3,0.9,0.4,1.7,6.3,452,20.8,0.568,0.342,0.437,16.4,19.5,18,4.7,1.2,6.5,6.9,19.1,1.2,0.9,2.1,0.224,0.8,1.9,2.7,0.5
54,Brian Bowen,SG,21,IND,3,0,3.3,0.3,1.3,0.25,0,0.3,0,0.3,1,0.333,0.25,0,0,,0,0.3,0.3,0,0,0.3,0,0,0.7,10,1.1,0.25,0.25,0,0,10.9,5.5,0,0,8.6,0,17.5,0,0,0,-0.143,-12.5,-0.4,-12.9,0
55,Ky Bowman,PG,22,GSW,34,8,22.6,3.1,7.3,0.418,0.9,2.4,0.366,2.2,4.9,0.443,0.478,0.7,0.8,0.889,0.5,2.1,2.6,2.9,0.9,0.1,1.3,2.3,7.7,769,10.2,0.502,0.329,0.108,2.3,10.5,6.3,19.5,2,0.6,14.4,16.9,-0.1,0.4,0.4,0.024,-2.6,-1.3,-3.8,-0.4
56,Avery Bradley,SG,29,LAL,23,18,24,3.5,7.7,0.455,0.7,2.7,0.262,2.8,5.1,0.556,0.5,0.4,0.5,0.75,0.6,1.9,2.4,1.2,1,0.1,1.2,2.3,8.1,552,8,0.51,0.343,0.067,2.7,8.3,5.6,6.7,1.9,0.3,12.8,16.2,-0.2,0.7,0.5,0.042,-2.7,-0.3,-3,-0.1
57,Tony Bradley,C,22,UTA,25,2,9.4,1.8,3,0.6,0,0,,1.8,3,0.6,0.6,0.6,1,0.625,1.4,2.2,3.5,0.3,0.1,0.5,0.4,1.8,4.2,236,19.2,0.614,0,0.32,16.2,23.4,20,4.8,0.6,4.6,11.4,17.9,0.6,0.4,1,0.203,-0.7,1,0.3,0.1
58,Jarrell Brantley,PF,23,UTA,2,0,4.5,0,0,,0,0,,0,0,,,0,0,,0,2,2,0.5,0,1,0.5,0.5,0,9,10.2,,,,0,45.5,23.8,13.7,0,18.5,100,4.9,0,0,0,0.065,-11.8,15.2,3.3,0
59,Ignas Brazdeikis,SF,21,NYK,8,0,6,0.6,2.5,0.25,0.1,1,0.125,0.5,1.5,0.333,0.275,0.4,0.5,0.75,0.3,0.4,0.6,0.3,0,0.1,0.3,0.4,1.8,48,0.7,0.322,0.4,0.2,4.2,6.7,5.4,6,0,2,8.4,20.9,-0.2,0,-0.2,-0.158,-8.1,-4.1,-12.3,-0.1
60,Mikal Bridges,SF,23,PHO,37,3,22.2,2.5,5,0.495,0.5,1.7,0.29,2,3.4,0.597,0.543,1.4,1.7,0.825,0.8,3.1,3.9,1.3,1.4,0.4,0.8,2.1,6.9,821,12.7,0.594,0.333,0.339,4,15.6,9.6,7.9,2.9,1.5,12.7,12.6,0.9,0.9,1.8,0.105,-1,2,1,0.6
61,Miles Bridges,SF,21,CHO,39,39,30.5,4.7,10.6,0.441,1.4,4.1,0.348,3.2,6.5,0.5,0.508,1.4,1.7,0.803,1.2,4.3,5.5,1.8,0.6,0.7,1.6,2.2,12.1,1190,11.9,0.535,0.39,0.16,4.2,16,9.8,9.6,1,2.1,12.3,18.5,0.4,0.6,0.9,0.038,-1.7,-0.6,-2.4,-0.1
62,Oshae Brissett,SF,21,TOR,11,0,9.1,1,2.3,0.44,0.3,0.8,0.333,0.7,1.5,0.5,0.5,0.5,0.5,0.833,0.7,1,1.7,0.4,0.3,0.1,0.3,1,2.7,100,10.8,0.543,0.36,0.24,8.5,11.1,9.8,5.7,1.4,0.9,9.8,13.1,0.1,0.1,0.2,0.119,-1.6,0,-1.6,0
63,Ryan Broekhoff,SG,29,DAL,10,0,7.7,1.1,2.5,0.44,1,2,0.5,0.1,0.5,0.2,0.64,0.5,0.6,0.833,0.1,1.3,1.4,0.4,0.2,0.1,0.2,0.7,3.7,77,16.3,0.669,0.8,0.24,1.4,17.1,9.4,7.3,1.3,1.1,6.7,16.4,0.2,0.1,0.3,0.177,2.3,-1.9,0.4,0
64,Malcolm Brogdon,PG,27,IND,27,27,30.5,6.3,14.2,0.446,1.4,4.1,0.333,5,10.1,0.493,0.495,3.6,3.9,0.933,0.6,3.7,4.4,7.4,0.9,0.2,2.7,2,17.7,824,19.7,0.556,0.29,0.274,2.3,13.3,7.8,36.8,1.4,0.5,14.4,26.5,1.6,0.9,2.5,0.143,2.7,-0.7,2.1,0.8
65,Dillon Brooks,SG,24,MEM,38,38,27.9,5.4,13,0.412,2,5.2,0.384,3.4,7.8,0.431,0.489,2.2,2.6,0.838,0.9,2.4,3.3,2,1,0.3,1.7,3.9,14.9,1059,11.8,0.526,0.4,0.2,3.6,9,6.4,10.4,1.7,1,10.6,23.7,0.2,0.5,0.7,0.031,-0.7,-2.1,-2.8,-0.2
66,Bruce Brown,SG,23,DET,37,28,27.1,3.3,7.5,0.44,0.5,1.6,0.328,2.8,5.8,0.472,0.477,1.5,2.1,0.684,0.9,3.5,4.4,3.8,1.2,0.5,1.8,2.7,8.6,1004,11.7,0.51,0.22,0.285,3.9,14.2,9.1,20.1,2.1,1.5,17.5,16.2,0.3,0.8,1.1,0.054,-1.8,1.1,-0.6,0.3
67,Charlie Brown,SG,22,ATL,4,0,4,0.3,0.8,0.333,0.3,0.3,1,0,0.5,0,0.5,1,1,1,0.5,0.3,0.8,0,0,0.3,0,0,1.8,16,21.5,0.735,0.333,1.333,13.5,6.9,10.2,0,0,5.2,0,12.4,0.1,0,0.1,0.256,1.5,-4.3,-2.8,0
68,Jaylen Brown,SF,23,BOS,30,30,33.6,7.6,14.9,0.511,2.1,5.4,0.395,5.5,9.5,0.577,0.583,3.4,4.4,0.765,1.1,6.2,7.2,2.3,1.1,0.3,2.3,3,20.7,1009,19.2,0.616,0.363,0.296,3.4,19.4,11.5,11.2,1.5,0.8,12,24.2,2,1.6,3.6,0.171,2.1,0,2.1,1.1
