Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
210,Rondae Hollis-Jefferson,SF,25,TOR,29,2,20.6,3.2,6.7,0.477,0.1,0.4,0.182,3.1,6.3,0.495,0.482,2.1,2.7,0.759,2.3,3,5.3,1.6,0.9,0.4,1,2.1,8.6,598,16.4,0.54,0.056,0.405,11.9,14.6,13.3,11.4,2,1.7,11.5,18.6,1,1,2,0.158,-0.6,1.9,1.3,0.5
211,Richaun Holmes,C,26,SAC,37,33,29.4,5.5,8.4,0.66,0,0,,5.5,8.4,0.66,0.66,2.1,2.5,0.817,3.1,5.4,8.5,1,1.1,1.4,1.2,3.9,13.1,1087,21.3,0.692,0,0.301,11.5,21.6,16.4,5.5,1.8,4.5,11.6,15.9,3.3,1.5,4.8,0.212,1.5,2.4,3.9,1.6
212,Rodney Hood,SF,27,POR,21,21,29.5,4.1,8.2,0.506,1.7,3.4,0.493,2.5,4.8,0.515,0.608,1,1.3,0.778,0.5,3,3.4,1.5,0.8,0.2,0.9,2.2,11,619,12.4,0.625,0.413,0.157,1.7,10.1,6,7.2,1.3,0.5,9.4,13.9,1,0.2,1.2,0.095,0.8,-1.1,-0.3,0.3
213,Al Horford,C,33,PHI,34,34,30.7,5.1,11.2,0.453,1.4,4,0.341,3.7,7.2,0.514,0.513,0.8,1.1,0.692,1.6,4.9,6.5,3.7,1,0.9,1.1,2.2,12.3,1043,15.7,0.525,0.355,0.103,5.9,17.4,11.7,17.5,1.5,2.5,8.3,17.8,1.4,1.5,2.9,0.134,0.6,1.9,2.5,1.2
214,Talen Horton-Tucker,SG,19,LAL,2,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,1,0.5,0,0,0,0,5,15.1,0,1,0,0,0,0,45.4,9.6,0,0,8.5,0,0,0,0.112,-5.6,-3.7,-9.4,0
215,Danuel House,SF,26,HOU,29,27,30.8,3.8,8.8,0.434,2.2,5.7,0.38,1.7,3.1,0.533,0.557,1.2,1.6,0.761,1.1,2.9,4,1.3,1,0.6,0.9,2.2,11,892,11.7,0.579,0.648,0.18,3.9,9.7,6.8,5.8,1.5,1.5,8.9,14,1.2,0.7,1.9,0.101,0.4,-0.3,0.1,0.5
216,Dwight Howard,C,34,LAL,37,0,19.6,2.9,3.9,0.743,0.1,0.1,0.5,2.8,3.8,0.75,0.75,1.3,2.6,0.485,2.2,4.7,6.9,0.6,0.4,1.5,1.2,3.3,7.1,726,17.6,0.704,0.028,0.674,12.9,25.5,19.4,4.3,1,6.8,19.8,13.6,1.4,1.5,2.9,0.189,-0.9,3.5,2.6,0.8
217,Kevin Huerter,SG,21,ATL,26,18,27,4,9.5,0.417,2,5.3,0.381,1.9,4.2,0.463,0.524,1.2,1.5,0.842,0.5,3.2,3.8,3.4,1,0.5,1.8,2.1,11.2,703,12.8,0.552,0.563,0.154,2.2,13.2,7.6,18.8,1.7,1.4,15.1,18.5,0.4,0.3,0.7,0.048,-0.2,-1.1,-1.3,0.1
218,De'Andre Hunter,SF,22,ATL,36,35,31.8,4.5,11.1,0.403,1.7,4.9,0.349,2.8,6.3,0.444,0.479,1.7,2.2,0.772,0.4,3.3,3.8,1.8,0.6,0.3,1.7,2.6,12.3,1144,8.1,0.511,0.438,0.198,1.5,11.5,6.4,8.1,0.9,0.7,12.1,18.1,-0.5,0.2,-0.3,-0.012,-2.8,-2.2,-5,-0.9
219,Chandler Hutchison,SF,23,CHI,10,6,15.9,2,4.4,0.455,0.5,1.2,0.417,1.5,3.2,0.469,0.511,1.9,2.9,0.655,0.1,3.2,3.3,0.8,0.5,0.2,1.2,1.2,6.4,159,10.6,0.564,0.273,0.659,0.6,22.3,11,7.5,1.5,1.2,17.5,18.3,0,0.2,0.2,0.056,-5.4,0,-5.4,-0.1
220,Serge Ibaka,C,30,TOR,27,10,25.9,5.9,11.9,0.494,0.9,2.5,0.353,5,9.3,0.532,0.531,2,2.7,0.764,2.2,6.1,8.3,1.2,0.4,0.9,2,2.7,14.6,698,17.4,0.562,0.213,0.225,9.1,24,16.7,8,0.8,3.4,13.3,24.8,0.5,1.3,1.8,0.121,-1.9,0.8,-1.1,0.2
221,Ersan İlyasova,PF,32,MIL,35,4,17.1,3,5.8,0.51,1,2.6,0.385,2,3.2,0.611,0.596,1.4,1.7,0.817,1.2,4.1,5.4,1,0.4,0.3,0.6,1.4,8.3,598,19,0.634,0.446,0.294,7.5,22.8,15.5,8.2,1.1,1.8,8,17.3,1.7,1.1,2.8,0.224,1.6,0.5,2,0.6
222,Joe Ingles,SF,32,UTA,36,16,30,3.7,8.3,0.444,2.1,5.2,0.412,1.5,3.1,0.5,0.574,1,1.3,0.804,0.4,4,4.4,4.6,0.9,0.2,1.9,2.2,10.5,1081,12.9,0.596,0.63,0.155,1.5,13.6,7.8,22,1.5,0.5,18.1,15.7,1.3,1.4,2.6,0.117,1.3,0.8,2.1,1.1
223,Brandon Ingram,PF,22,NOP,33,33,34.2,8.9,18.6,0.48,2.4,5.8,0.404,6.6,12.8,0.515,0.544,4.9,5.7,0.867,0.9,6,6.8,3.8,1,0.8,2.9,3,25.2,1128,21.3,0.596,0.314,0.306,2.6,19,10.6,18.9,1.4,2,12.1,29.1,2.3,0.8,3.1,0.133,2.6,-0.6,2,1.1
224,Kyrie Irving,PG,27,BRK,11,11,33.8,10.2,22.9,0.444,2.8,8.3,0.341,7.4,14.6,0.503,0.506,5.4,5.7,0.937,0.9,4.5,5.4,7.2,1.1,0.5,2.4,2.9,28.5,372,25.8,0.561,0.361,0.25,2.8,13,8.1,41.4,1.5,1.3,8.5,34.2,1.2,0.4,1.6,0.205,7.4,-0.3,7.1,0.9
225,Jonathan Isaac,SF,22,ORL,32,32,29.7,4.7,10.1,0.463,0.9,2.8,0.33,3.7,7.2,0.515,0.509,1.8,2.3,0.767,1.8,5.2,6.9,1.4,1.6,2.4,1.5,2.5,12,949,17.3,0.542,0.283,0.227,6.2,18.8,12.3,7.3,2.6,7.5,11.7,18.4,0.5,2,2.5,0.127,-1.7,5.3,3.5,1.3
226,Wesley Iwundu,SF,25,ORL,23,7,16.5,1.3,3.8,0.345,0.2,1,0.167,1.1,2.7,0.413,0.368,1.3,1.5,0.882,0.5,2,2.5,0.9,0.6,0.3,0.5,1.3,4.1,379,8.2,0.461,0.276,0.391,3.2,13.1,8,7.4,1.7,1.7,10.5,13.1,-0.1,0.5,0.4,0.051,-4.6,1.1,-3.5,-0.1
227,Frank Jackson,PG,21,NOP,29,1,12.7,2,5.3,0.368,0.7,2.5,0.278,1.3,2.9,0.446,0.432,0.9,1.1,0.818,0.2,1,1.1,0.8,0.3,0,0.8,1.3,5.6,367,6.9,0.475,0.465,0.213,1.4,8.3,4.7,9.3,1.1,0.2,12.4,21.8,-0.4,0.1,-0.3,-0.041,-4.3,-3.9,-8.2,-0.6
228,Jaren Jackson,C,20,MEM,37,37,28.3,6.5,13.5,0.479,2.6,6.4,0.408,3.8,7.1,0.544,0.576,2.3,3,0.757,1.1,3.9,5,1.5,0.6,1.5,1.7,4.1,17.8,1046,17.5,0.601,0.477,0.222,4.2,14.6,9.4,8.3,1.1,4.4,10.5,24.4,1.5,0.8,2.2,0.103,1.7,-0.7,1,0.8
229,Justin Jackson,PF,24,DAL,32,2,15.7,2.3,5.8,0.408,0.9,3,0.305,1.4,2.8,0.517,0.486,0.7,0.8,0.808,0.4,2.2,2.6,0.6,0.2,0.1,0.2,1.2,6.3,501,11,0.512,0.516,0.141,2.8,14,8.5,5.7,0.7,0.7,2.5,17.1,0.5,0.3,0.8,0.08,-1.3,-2.4,-3.7,-0.2
230,Reggie Jackson,PG,29,DET,2,2,18,2,5.5,0.364,0.5,2.5,0.2,1.5,3,0.5,0.409,0.5,0.5,1,0.5,2,2.5,4,0,0,0.5,1,5,36,10.9,0.437,0.455,0.091,3.1,12.4,7.8,31.2,0,0,8,14.9,0,0,0,0.058,-1.6,-3.8,-5.4,0
231,Justin James,SG,23,SAC,20,0,9.3,1.4,3.3,0.415,0.4,1.1,0.318,1,2.2,0.465,0.469,0.2,0.6,0.273,0.2,1.1,1.3,0.6,0.3,0.4,0.4,0.7,3.2,186,9.7,0.458,0.338,0.169,2.4,13.8,7.9,9.7,1.3,4.1,9.1,18,-0.1,0.2,0,0.01,-4.7,0.2,-4.5,-0.1
232,LeBron James,PG,35,LAL,36,36,35,9.6,19.7,0.486,2.1,6.2,0.347,7.4,13.6,0.549,0.54,3.8,5.5,0.688,1.1,6.7,7.8,10.8,1.3,0.6,3.8,1.8,25.1,1260,26.2,0.567,0.313,0.28,3.4,20.6,12.2,51,1.8,1.4,14.5,31.4,3.8,2.1,5.9,0.224,6.7,2.4,9,3.5
233,Amile Jefferson,PF,26,ORL,11,0,3.7,0.3,0.5,0.5,0,0,,0.3,0.5,0.5,0.5,0.2,0.5,0.333,0.5,0.7,1.2,0.4,0,0.2,0.2,0.4,0.7,41,11.5,0.463,0,1,12.5,21.1,16.7,13.6,0,4.4,18.8,11.3,0,0.1,0.1,0.084,-4.5,2.3,-2.2,0
234,DaQuan Jeffries,SG,22,SAC,2,0,5.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0.5,0,0.5,0.5,0,0,0,0.5,1,11,12.7,1,0,0,10.1,0,5.2,12.6,0,0,0,4,0,0,0,0.172,2.3,-3,-0.7,0
235,Ty Jerome,PG,22,PHO,10,0,13.4,1.6,4.9,0.327,0.6,2,0.3,1,2.9,0.345,0.388,0.4,0.5,0.8,0.3,1.4,1.7,2.2,1.1,0,0.9,1.3,4.2,134,9.1,0.41,0.408,0.102,2.4,11.8,6.9,22.3,3.8,0,15,19,-0.2,0.2,0,-0.008,-3.9,0.1,-3.9,-0.1
236,Alize Johnson,SF,23,IND,10,0,4.3,0.7,1.3,0.538,0,0,,0.7,1.3,0.538,0.538,0.3,0.4,0.75,0.6,0.9,1.5,0.2,0,0,0.1,0.6,1.7,43,16.1,0.576,0,0.308,15.3,22.7,19.1,6.6,0,0,6.3,16,0.1,0,0.2,0.177,-0.8,-2.3,-3.1,0
237,B.J. Johnson,SF,24,ORL,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,3,0,,,,0,0,0,0,0,0,,0,0,0,0,0.011,-7,0.6,-6.5,0
238,Cameron Johnson,PF,23,PHO,34,0,20.2,2.8,6.6,0.418,1.8,4.6,0.394,1,2.1,0.471,0.553,0.8,1,0.743,0.9,2.1,3,1,0.5,0.3,0.6,1.6,8.1,688,11.7,0.572,0.689,0.156,4.8,11.8,8.2,6.7,1.1,1.1,8.4,16.1,0.7,0.4,1.1,0.074,0.4,-1.5,-1.1,0.2
239,James Johnson,PF,32,MIA,7,0,12.9,1.7,3.3,0.522,0.6,1.6,0.364,1.1,1.7,0.667,0.609,0.6,1.1,0.5,0.6,1.9,2.4,0.9,0.4,0.6,0.7,1,4.6,90,13.9,0.603,0.478,0.348,5.2,15.3,10.5,9.9,1.6,4.4,15.9,15.3,0.1,0.1,0.2,0.115,-1.4,1.7,0.3,0.1
240,Keldon Johnson,SF,20,SAS,2,0,3.5,0.5,2,0.25,0,0,,0.5,2,0.25,0.25,0,0,,0,1,1,0,0,0,0,0,1,7,-2.3,0.25,0,0,0,29.9,15.1,0,0,0,0,24.5,0,0,0,-0.261,-17.9,-8.9,-26.8,0
241,Stanley Johnson,PF,23,TOR,11,0,5.3,0.6,2.3,0.28,0.2,1.1,0.167,0.5,1.2,0.385,0.32,0.3,0.4,0.75,0.3,1.1,1.4,0.2,0.2,0.1,0.5,0.5,1.7,58,1.7,0.355,0.48,0.16,5.5,21,13.4,5,1.7,1.6,18.3,24.1,-0.3,0.1,-0.2,-0.128,-10.1,-1,-11,-0.1
242,Tyler Johnson,SG,27,PHO,25,3,17.5,2.2,5.6,0.383,0.8,2.7,0.294,1.4,2.9,0.466,0.454,0.8,1,0.769,0.4,1.6,2,1.9,0.4,0.3,0.8,1.4,5.9,437,8.6,0.485,0.482,0.184,2.2,10.3,6.1,14.7,1,1.4,12.1,16.7,-0.1,0.2,0.1,0.015,-2.9,-1.3,-4.2,-0.2
243,Nikola Jokić,C,24,DEN,36,36,31.1,7.4,14.6,0.505,1.3,4,0.313,6.1,10.6,0.577,0.548,2.9,3.7,0.803,2.3,7.4,9.8,6.4,1,0.5,2.5,3.1,18.9,1120,24.4,0.584,0.274,0.251,8.1,26.6,17.3,33.2,1.5,1.5,13.5,26,3.3,1.7,5,0.214,5.1,2.5,7.6,2.7
244,Damian Jones,C,24,ATL,33,20,16.8,2.6,3.8,0.685,0.1,0.2,0.333,2.5,3.6,0.703,0.694,1.2,1.7,0.719,1.5,2.2,3.7,0.7,0.4,0.8,0.5,3.1,6.5,554,16.7,0.714,0.048,0.46,9.6,14.7,12.1,6,1.1,4.1,10.8,12.6,1.6,0.3,1.9,0.164,0.4,0.4,0.9,0.4
245,Derrick Jones,SF,22,MIA,22,1,24.3,3.2,6.5,0.486,0.5,2.4,0.226,2.6,4.1,0.637,0.528,1.7,2.3,0.74,0.8,3,3.9,1,1.2,0.6,0.8,2.4,8.6,535,12.8,0.569,0.368,0.347,4,13.3,8.9,5.8,2.4,2.4,9.3,14.9,0.5,0.8,1.3,0.12,-1.1,1.5,0.4,0.3
246,Tyus Jones,PG,23,MEM,38,6,19.6,2.6,6,0.439,0.5,1.6,0.306,2.1,4.4,0.488,0.48,0.6,0.8,0.733,0.1,1.5,1.6,4.8,0.9,0.1,1.1,0.8,6.3,744,13.7,0.5,0.272,0.132,0.7,8,4.4,32.5,2.1,0.6,14.2,15.8,0.8,0.4,1.1,0.073,-1.5,-2.5,-4,-0.4
247,DeAndre Jordan,C,31,BRK,33,4,21.2,3.2,5,0.646,0,0,,3.2,5,0.646,0.646,1.5,2.2,0.681,2.4,7.5,9.8,2.1,0.4,1,1.2,2,7.9,699,20.7,0.667,0,0.439,11.8,34.7,23.6,14.7,0.9,3.9,17.3,14.1,1.8,1.4,3.1,0.215,-0.6,4.1,3.4,1
248,Cory Joseph,PG,28,SAC,38,20,26,2.5,6.4,0.392,0.7,2.1,0.329,1.8,4.4,0.422,0.445,0.8,0.8,0.906,0.6,2.2,2.7,3.8,0.8,0.4,1.2,2,6.5,987,9.5,0.477,0.322,0.131,2.4,9.8,6,20.5,1.5,1.3,15.4,13.5,0.3,0.7,1,0.048,-2.5,-0.1,-2.6,-0.2
249,Mfiondu Kabengele,C,22,LAC,10,0,4.4,1,2.2,0.455,0.6,1.2,0.5,0.4,1,0.4,0.591,0.3,0.3,1,0.1,0.7,0.8,0.1,0.1,0.1,0.1,0.6,2.9,44,18.7,0.622,0.545,0.136,2.4,16.1,9.4,3.6,1.1,2,4.1,22.7,0.1,0.1,0.2,0.187,1.4,-2.8,-1.4,0
250,Frank Kaminsky,C,26,PHO,32,13,22.4,4,8.7,0.455,1.2,3.5,0.348,2.8,5.2,0.527,0.525,1.8,2.8,0.67,0.9,4,4.9,2.2,0.4,0.3,1,2.2,11,718,14.7,0.554,0.401,0.315,4.4,20.2,12.1,14.6,0.8,1.2,9.4,20.6,0.9,0.5,1.4,0.091,-0.2,-0.8,-1.1,0.2
251,Enes Kanter,C,27,BOS,27,3,18.1,3.8,6.7,0.567,0,0.1,0.25,3.7,6.5,0.574,0.569,1.3,2,0.667,3.1,5,8.1,1.1,0.6,0.9,1,1.7,8.9,490,24.6,0.591,0.022,0.3,18.6,29.2,23.9,9.6,1.5,4.7,11.3,20,1.4,1.1,2.5,0.245,1,2.9,4,0.7
252,Luke Kennard,SG,23,DET,28,25,32.9,5.4,12.2,0.442,2.6,6.5,0.399,2.8,5.7,0.491,0.548,2.4,2.7,0.893,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,15.8,922,14.5,0.589,0.535,0.219,1.1,10.8,6,18.9,0.6,0.5,10.3,19.6,1.7,0.2,1.9,0.1,2.1,-2.4,-0.4,0.4
253,Stanton Kidd,SF,27,UTA,4,0,3.8,0,0.8,0,0,0.3,0,0,0.5,0,0,0,0,,0,0.8,0.8,0.3,0,0,0.5,0.8,0,15,-13.7,0,0.333,0,0,20.5,10.7,8.2,0,0,40,14.6,-0.1,0,-0.1,-0.319,-16.3,0.4,-15.9,-0.1
254,Michael Kidd-Gilchrist,PF,26,CHO,11,0,13.7,1.5,4.6,0.333,0.5,1.5,0.294,1.1,3.1,0.353,0.382,0.6,0.8,0.778,0.8,2.3,3.1,0.8,0,0.3,0.6,1.6,4.2,151,6.1,0.418,0.333,0.176,6.2,18.9,12.3,8.9,0,1.8,11.3,17.9,-0.2,0,-0.1,-0.036,-5.8,-2.3,-8.1,-0.2
255,Louis King,F,20,DET,4,0,3,0.8,1.8,0.429,0.3,0.8,0.333,0.5,1,0.5,0.5,0,0,,0.3,0.3,0.5,0.3,0.3,0,0.3,0.5,1.8,12,14.8,0.5,0.429,0,9.4,9.3,9.3,14.5,4,0,12.5,28.8,0,0,0,0.016,0,-2,-2,0
256,Maxi Kleber,C,28,DAL,35,6,24.7,3.1,6.7,0.468,1.7,4.1,0.403,1.5,2.5,0.573,0.592,1.1,1.2,0.881,1.6,3.8,5.4,1.1,0.3,0.7,0.8,2.3,8.9,864,13.8,0.622,0.618,0.18,7,15.5,11.4,5.9,0.6,2.6,10.3,13.9,1.7,0.8,2.5,0.136,1.4,0,1.4,0.7
257,Brandon Knight,PG,28,CLE,12,0,13.4,1.9,5.3,0.359,1.3,4,0.333,0.6,1.3,0.438,0.484,0.3,0.8,0.333,0.2,1,1.2,2,0.4,0.2,1,1,5.4,161,9.6,0.478,0.75,0.141,1.4,8.2,4.8,22.2,1.5,1.1,15,21.2,-0.1,0,-0.1,-0.018,-1,-3.4,-4.4,-0.1
258,Kevin Knox,SF,20,NYK,36,4,19.4,2.5,6.7,0.378,1.2,3.5,0.341,1.3,3.2,0.417,0.467,1.1,1.8,0.641,0.4,2.7,3.1,1.1,0.5,0.5,0.7,1.6,7.4,697,10.4,0.494,0.523,0.266,1.9,15,8.2,8.6,1.3,2.3,8.5,17.8,0,0.4,0.4,0.03,-2.1,-0.9,-3,-0.2
259,John Konchar,SG,23,MEM,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0,0,8,1.4,,,,0,13.3,6.7,0,0,0,,0,0,0,0,0,-7.1,-1,-8.2,0
260,Furkan Korkmaz,SG,22,PHI,37,11,20.5,3.1,7,0.436,1.6,4.2,0.377,1.5,2.8,0.524,0.548,0.6,0.8,0.75,0.2,2,2.2,0.8,0.5,0.2,0.6,1.4,8.2,757,10.5,0.562,0.595,0.108,1.2,10.7,6,5.6,1.3,0.8,8.1,16.7,0.4,0.8,1.3,0.079,-0.9,-1.4,-2.3,-0.1
261,Luke Kornet,C,24,CHI,17,0,8.9,1,2.9,0.34,0.4,1.7,0.241,0.6,1.2,0.476,0.41,0.3,0.3,1,0.4,1.1,1.4,0.4,0.1,0.6,0.2,0.8,2.7,151,9.3,0.441,0.58,0.1,4,13.2,8.4,5.8,0.6,6.9,5.4,15.5,-0.1,0.2,0.1,0.045,-4.5,1.6,-3,0
262,Kyle Korver,SF,38,MIL,33,0,16.7,2,4.9,0.411,1.7,4,0.414,0.4,0.9,0.4,0.58,0.6,0.7,0.864,0.2,1.6,1.8,1.2,0.5,0.2,0.8,1.2,6.3,551,10.8,0.602,0.816,0.135,1.5,9,5.5,9.2,1.3,1.1,13.5,15,0.5,0.8,1.3,0.112,0.2,-0.5,-0.2,0.2
263,Rodions Kurucs,PF,21,BRK,21,2,11.8,1.3,3.1,0.431,0.5,1.3,0.37,0.9,1.8,0.474,0.508,0.4,0.7,0.571,0.5,1.8,2.3,0.8,0.4,0.1,1,1.8,3.5,248,6.3,0.52,0.415,0.215,4.2,15.1,9.8,9.8,1.5,0.7,23.6,15.6,-0.3,0.3,0,0.007,-5.1,0.2,-4.9,-0.2
264,Kyle Kuzma,PF,24,LAL,28,1,23.4,4.4,10.3,0.425,1.7,4.9,0.346,2.7,5.4,0.497,0.507,1.6,2.1,0.746,0.5,3.1,3.6,0.8,0.4,0.4,1.5,1.8,12,654,10.9,0.535,0.474,0.206,2.4,14.3,8.5,5.1,0.7,1.5,12.1,23.1,-0.2,0.8,0.6,0.045,-2.8,-2.1,-4.9,-0.5
265,Skal Labissière,C,23,POR,33,1,17.2,2.5,4.5,0.551,0.1,0.4,0.231,2.4,4.1,0.582,0.561,0.8,1,0.758,2,3.2,5.1,1.3,0.2,0.9,0.9,2.7,5.8,567,15.6,0.588,0.088,0.224,11.9,18.5,15.3,10.4,0.6,4.6,15.7,14.3,1,0.5,1.5,0.129,-0.3,1.7,1.3,0.5
266,Jeremy Lamb,SG,27,IND,26,26,30.2,5.2,11.4,0.451,1.3,3.7,0.344,3.9,7.7,0.502,0.507,2.5,3,0.857,0.6,4.2,4.8,2.6,1.3,0.6,1.3,2.2,14.1,784,15.6,0.555,0.323,0.259,2.2,15.2,8.8,12.5,2.1,1.6,9.3,20.3,0.9,1.1,2,0.121,0.2,1.1,1.2,0.6
267,Romeo Langford,SG,20,BOS,9,0,10.2,0.8,2,0.389,0.2,1,0.222,0.6,1,0.556,0.444,0.6,0.7,0.833,0.4,0.4,0.9,0.2,0.3,0.2,0.2,0.7,2.3,92,7.9,0.509,0.5,0.333,4.7,4.6,4.6,2.8,1.6,2,8.8,10.5,0,0.1,0.2,0.082,-2.3,0.4,-1.9,0
268,Zach LaVine,SG,24,CHI,37,37,33.7,8.1,18.9,0.427,3.1,7.8,0.391,5,11.1,0.452,0.508,4.5,5.5,0.814,0.7,3.8,4.5,4,1.4,0.5,3.2,2.2,23.6,1247,18.3,0.555,0.414,0.292,2.1,12.6,7.2,21.1,2,1.3,13.2,30.8,0.9,1.5,2.4,0.094,1.8,-0.6,1.3,1
269,Jake Layman,PF,25,MIN,14,2,26.4,4.4,9.4,0.462,1.4,3.9,0.352,3,5.6,0.538,0.534,0.4,0.7,0.6,0.9,2.1,2.9,0.8,0.9,0.7,1.3,2.2,10.5,369,10.4,0.539,0.409,0.076,3.3,8.3,5.7,4.6,1.5,2.2,11.7,17.3,0,0.3,0.3,0.033,-2.6,-0.6,-3.1,-0.1
270,T.J. Leaf,PF,22,IND,21,1,8.4,1.3,3.1,0.415,0.2,0.7,0.357,1,2.4,0.431,0.454,0.3,0.5,0.6,1,1.9,2.8,0.3,0.3,0.1,0.3,0.8,3.1,177,13.7,0.468,0.215,0.154,12.4,23.9,18.2,4.7,1.9,1.5,8,18.6,0,0.3,0.3,0.091,-3.3,-0.5,-3.8,-0.1
271,Courtney Lee,SG,34,DAL,9,3,8,1.4,2.4,0.591,0.8,1.3,0.583,0.7,1.1,0.6,0.75,0,0,,0,0.3,0.3,0.3,0,0.2,0.2,0.7,3.7,72,14.4,0.75,0.545,0,0,4.2,2.2,6.2,0,2.4,8.3,14.2,0.2,0,0.2,0.131,1.4,-3,-1.5,0
272,Damion Lee,SG,27,GSW,24,11,26.4,4.1,9.9,0.418,1.3,3.6,0.368,2.8,6.3,0.447,0.485,2.8,3.1,0.88,0.9,4.4,5.3,2.2,0.9,0,1.2,1.8,12.3,633,14.5,0.548,0.367,0.316,3.6,18.4,10.8,13,1.6,0.1,9.7,20.1,0.7,0.4,1.1,0.083,-0.7,-1.6,-2.3,0
273,Alex Len,C,26,ATL,35,9,18.5,3.5,6.4,0.554,0.4,1.4,0.286,3.1,5,0.629,0.585,1.3,2.1,0.639,1.6,3.9,5.5,1.2,0.5,0.8,0.9,2.3,8.8,647,18.3,0.602,0.219,0.321,9.2,23.2,16.1,10.1,1.3,3.6,11.4,18.6,1.2,0.6,1.7,0.128,-0.2,0.3,0.1,0.3
274,Kawhi Leonard,SF,28,LAC,28,28,31.9,8.8,19.7,0.448,1.8,5,0.353,7.1,14.7,0.481,0.493,5.9,6.6,0.891,1.1,6.5,7.6,5.1,1.8,0.5,3.3,2,25.3,893,24.4,0.559,0.252,0.334,3.7,20.5,12.3,27.2,2.7,1.5,12.8,33.3,1.7,1.6,3.3,0.176,3.1,2.4,5.5,1.7
275,Meyers Leonard,PF,27,MIA,36,36,19.4,2.4,4.4,0.538,1,2.2,0.45,1.4,2.2,0.625,0.65,0.3,0.4,0.688,0.6,4.3,4.8,1,0.2,0.4,0.8,2,6.1,699,11.7,0.656,0.5,0.1,3.4,23.2,13.8,7.8,0.6,2,13.9,12.1,0.9,0.9,1.7,0.12,-1.1,0.7,-0.4,0.3
276,Caris LeVert,SG,25,BRK,11,9,29.3,6.5,14.8,0.436,1.5,3.7,0.415,4.9,11.1,0.443,0.488,2.3,3.6,0.625,1.1,3.5,4.6,3.6,0.5,0.1,3.4,1.9,16.7,322,11.9,0.509,0.252,0.245,3.9,12,8,20.9,0.9,0.3,17,28.1,-0.3,0.3,-0.1,-0.011,-3.1,-1.7,-4.8,-0.2
277,Damian Lillard,PG,29,POR,36,36,36.9,8.4,18.9,0.442,3.4,9.4,0.362,4.9,9.5,0.522,0.532,6.8,7.6,0.891,0.4,3.7,4.2,7.6,1,0.4,2.8,1.8,26.9,1328,24.7,0.605,0.499,0.404,1.3,10.2,5.8,32.8,1.3,0.9,11.3,28.8,5,0.6,5.6,0.202,7.5,-2.5,5.1,2.4
278,Nassir Little,PF,19,POR,27,3,12.6,1.2,3.2,0.384,0.2,1.1,0.161,1,2,0.509,0.413,0.7,1,0.667,0.8,2,2.8,0.5,0.3,0.3,0.4,1.5,3.3,341,8.4,0.455,0.36,0.314,6.7,15.7,11.3,5.4,1.1,1.7,10.1,13.5,0,0.2,0.2,0.031,-3.2,-0.7,-3.9,-0.2
279,Kevon Looney,C,23,GSW,10,3,10.5,1.1,3.2,0.344,0.1,0.2,0.5,1,3,0.333,0.359,0.3,0.5,0.6,1.5,1.4,2.9,0.4,0.3,0.2,0.6,1.7,2.6,105,6.7,0.38,0.063,0.156,14.9,14.8,14.8,5.6,1.4,1.7,14.9,16.3,-0.1,0.1,-0.1,-0.032,-6.2,-1.2,-7.4,-0.1
280,Brook Lopez,C,31,MIL,36,36,26.4,3.6,8.9,0.408,1.4,4.8,0.304,2.2,4.2,0.527,0.489,1.6,1.8,0.864,0.7,4.2,4.9,1.5,0.7,2.6,1,2.4,10.3,950,14,0.53,0.533,0.206,2.6,15,9.1,7.4,1.2,8.6,9.3,16.8,0.5,2.1,2.6,0.133,-1.7,4.7,2.9,1.2
281,Robin Lopez,C,31,MIL,38,2,14.7,2.5,4.8,0.519,0.4,1.6,0.283,2,3.2,0.636,0.566,0.5,1,0.486,1.1,1.8,2.8,0.7,0.2,0.7,1,1.4,5.9,558,12.3,0.565,0.331,0.204,7.5,11.3,9.5,6.3,0.5,4.4,15.8,17.4,0.2,0.9,1.1,0.095,-2.3,0.9,-1.4,0.1
282,Kevin Love,PF,31,CLE,31,31,30.7,5.5,12,0.461,2.4,6.3,0.385,3.1,5.7,0.545,0.562,3.3,3.9,0.851,0.9,9.3,10.2,2.9,0.5,0.4,2.7,1.4,16.8,953,18.5,0.612,0.523,0.324,3.2,33.4,18.3,14.9,0.9,1.2,16.5,22.9,1.3,0.7,2,0.102,1.1,-0.1,1,0.7
